DAILY SPECIALS
SHALIMAR CHAWAL ,$2.39, "Shalimar's own basmati rice.Cooked in a rich stock of savory spicesand brown onions and made aromaticwith a touch of exotic saffron."
SINDHI CHICKEN BIRYANI ,$7.95, "Shalimar's own basmati rice.Chicken cooked with exotic spices anda touch of cilantro, peppers and mint.A real aromatic dish.Available on certain days"

SALAN
MURGHI KORMA SHAHI,$6.95, "The king of curries. Made with succulent chicken, delicately flavoredwith saffron and gently simmered in a blend of yogurt and selected spices.You will love it!"
SAAG CHICKEN,$6.95, "A delectable combination of farm fresh spinach cooked in traditionalPunjabi Masala and brought to perfection in a blend of curried chicken."
CHICKEN KOFTA,$6.95, "Chicken Meatballs. Made aromatic with touch ofexotic spice Zeera (Cumin seeds)."
CHICKEN TIKKA MASALA,$6.95, "Chicken Barbeque cooked with butter in Shalimar spices. Heartyand tasty."
SAAG GOSHT,$8.95, "The favorite dish of the Punjabi farmer. A combination oftender morsels of lamb cooked with garden fresh spinach,crisp coriander and various aromatic herbs."
BHUNA GOSHT,$8.95, "Relished by Punjabi stalwart soldiers. Grass fed lamb, cooked withbutter with a hint of garlic and ginger over a bed of onions.It is brought to a simmer in Pakistani wild spices.Something to remember us!"
BEEF JALFREZI,$7.95, "Delicately cut slices of Beef saut?ed with tomatoes, bell peppers,onions and flavored with various aromatic spices likewhole cinnamon sticks and cloves."
ALOO KEEMA ,$6.95, "Ground Beef or Chicken cooked with onions, tomatoes, whole gingerand a selection of delicious spices served with potatoes."
NIHARI,$8.95, "North Indian delicacy. Fat removedBeef shank cooked slowly in mixed spices. Garnished with ginger,pepper and cilantro."
HALEEM,$7.00, "Combination of Lentils and Barley.Mixed with Chicken or Beef. Slow cooked in authentic spices.Garnished with ginger, onions and cilantro."

NATURE'S BOUNTY
KABLI CHANNA,$5.95, "Combination of Lentils and Barley.Chickpeas delicately cooked in butter and garam masala,and caressed with the softness of tamarind and coriander."
PALAK PANEER,$5.95, "Spinach and Cheese cooked with our exotic spices.South Indians love it. They eat it like meat."
MILI JULI SABZI,$5.95, "An interesting and tasty variety of fresh vegetables, red ripe tomatoes,spices and herbs. Stir-fried and left to simmer in their natural juicethat brings out a rainbow of scrumptious flavors."
PALAK ALOO METHI,$5.95, "The pride of Punjabi farmland. A wonderful combination of freshlypicked spinach greens. Cooked with young potatoes and Kasuri Methi.It is seductively tantalizing!."
DAAL MASALA,$5.95, "The love of every Indian and Pakistani. Considered a poor man's foodbut found on every table. Made rich with a variety of lentils stewedwith cumin and coriander."
BENGEN BHUJIA,$5.95, "Garden fresh eggplant cooked with slender bits of onions and tomatoes.Made rich with exotic oriental spices."
PANEER MASALA,$6.95, "A South Indian specialty. Cheese cooked in Shalimar specialTikka Masala. Coocked slowly to maintain the balance."
OKRA,$5.95, "Ladyfingers cooked with onions and various Shalimar spices.Cooked to perfection, garnished with ginger.Depending upon availability."
MUTTER PANEER,$6.95, "A North Indian delicacy made with mutter (peas) and paneer (cubedcheese). One of the most frequently ordered dishes."

DRINKS
SOFT DRINKS,$1.50,
MANGO LASSI,$2.39,
MASALA TEA,$1.00,

